"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"1","42017100206",121,135,138,152,147,142,137,138.857142857143
"2","42029300800",174,169,164,159,154,149,144,159
"3","42091205700",118,115,110,105,100,95,90,104.714285714286
"4","42091203601",95,115,110,105,100,95,92,101.714285714286
"5","42091202602",116,111,106,101,96,94,140,109.142857142857
"6","42091201100",148,145,140,135,130,127,147,138.857142857143
"7","42091204101",90,88,92,89,84,80,102,89.2857142857143
"8","42045402900",123,118,113,108,103,100,139,114.857142857143
"9","42045403104",91,88,83,78,73,71,91,82.1428571428571
"10","42045400700",76,78,74,71,70,74,75,74
"11","42101001500",33,31,33,32,30,31,31,31.5714285714286
"12","42101001800",37,37,38,41,40,39,37,38.4285714285714
"13","42101002802",29,38,36,31,29,40,37,34.2857142857143
"14","42101004001",25,23,26,24,22,26,23,24.1428571428571
"15","42101006300",44,44,43,43,43,43,43,43.2857142857143
"16","42101007700",24,24,24,24,24,24,24,24
"17","42101008701",39,42,42,42,40,40,41,40.8571428571429
"18","42101011000",36,41,40,38,37,39,41,38.8571428571429
"19","42101011500",55,57,56,54,55,57,54,55.4285714285714
"20","42101014000",34,35,37,36,35,38,37,36
"21","42101016500",36,42,45,45,44,44,42,42.5714285714286
"22","42101017202",49,53,50,45,44,55,51,49.5714285714286
"23","42101019502",53,52,50,48,52,50,54,51.2857142857143
"24","42101021400",74,69,64,64,70,68,70,68.4285714285714
"25","42101024200",46,52,52,50,47,45,51,49
"26","42101025500",67,74,71,68,68,75,72,70.7142857142857
"27","42101027402",60,59,61,60,64,63,58,60.7142857142857
"28","42101028600",60,55,50,45,45,65,63,54.7142857142857
"29","42101030501",60,59,77,73,68,63,58,65.4285714285714
"30","42101033500",77,73,81,82,79,77,82,78.7142857142857
"31","42101034000",81,95,91,86,85,84,79,85.8571428571429
"32","42101034900",113,108,103,98,93,90,110,102.142857142857
"33","42101035900",118,120,115,110,109,117,113,114.571428571429
"34","42101012201",73,69,66,65,69,67,65,67.7142857142857
"35","42101000401",13,13,13,13,13,13,13,13
"36","42101016200",39,34,33,40,38,36,34,36.2857142857143
"37","42101012502",33,32,29,30,29,27,27,29.5714285714286
"38","42101013701",64,62,57,56,58,58,57,58.8571428571429
"39","42091203701",150,145,140,135,130,125,120,135
"40","42045980100",90,85,80,75,74,94,90,84
