"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"1","42017100206",143,148,153,154,114,114,106,133.142857142857
"2","42029300800",174,179,NA,NA,NA,NA,NA,NA
"3","42091205700",96,100,92,93,98,99,91,95.5714285714286
"4","42091203601",98,101,106,111,116,117,91,105.714285714286
"5","42091202602",144,91,94,99,104,109,114,107.857142857143
"6","42091201100",148,128,130,135,140,145,148,139.142857142857
"7","42091204101",81,85,90,95,98,103,108,94.2857142857143
"8","42045402900",91,96,101,106,111,116,121,106
"9","42045403104",87,67,70,73,75,78,80,75.7142857142857
"10","42045400700",72,72,73,73,76,77,71,73.4285714285714
"11","42101001500",30,31,29,29,30,32,28,29.8571428571429
"12","42101001800",41,42,39,40,36,37,39,39.1428571428571
"13","42101002802",30,32,28,29,30,26,28,29
"14","42101004001",26,24,24,26,22,23,26,24.4285714285714
"15","42101006300",47,47,47,47,47,47,47,47
"16","42101007700",24,24,24,24,25,25,25,24.4285714285714
"17","42101008701",39,39,39,38,39,36,36,38
"18","42101011000",39,41,36,36,38,36,37,37.5714285714286
"19","42101011500",51,52,54,54,53,53,51,52.5714285714286
"20","42101014000",34,32,32,30,30,32,31,31.5714285714286
"21","42101016500",38,38,39,43,44,41,41,40.5714285714286
"22","42101017202",46,47,49,45,48,46,46,46.7142857142857
"23","42101019502",47,50,51,47,47,43,43,46.8571428571429
"24","42101021400",77,82,83,65,69,74,62,73.1428571428571
"25","42101024200",45,45,48,47,39,41,45,44.2857142857143
"26","42101025500",69,65,64,66,66,67,69,66.5714285714286
"27","42101027402",55,55,60,64,54,54,59,57.2857142857143
"28","42101028600",60,62,50,50,55,59,62,56.8571428571429
"29","42101030501",60,63,62,64,69,72,61,64.4285714285714
"30","42101033500",77,79,74,74,75,75,79,76.1428571428571
"31","42101034000",84,87,79,80,83,77,79,81.2857142857143
"32","42101034900",101,106,111,116,121,122,92,109.857142857143
"33","42101035900",109,112,117,115,111,109,111,112
"34","42101012201",63,68,69,63,67,72,76,68.2857142857143
"35","42101000401",14,14,13,13,13,13,13,13.2857142857143
"36","42101016200",39,39,34,36,39,40,34,37.2857142857143
"37","42101012502",27,27,27,26,26,27,27,26.7142857142857
"38","42101013701",57,55,55,55,57,57,56,56
"39","42091203701",120,125,130,135,140,145,150,135
"40","42045980100",78,82,74,75,79,77,78,77.5714285714286
"41","42029980000",132,136,116,117,122,127,132,126
"42","42029302806",103,107,112,117,122,102,102,109.285714285714
"43","42045406401",133,138,139,118,122,127,132,129.857142857143
"44","42017100807",139,107,111,116,121,126,131,121.571428571429
"45","42029301100",174,179,NA,NA,173,150,150,NA
"46","42029300700",174,177,161,163,145,145,150,159.285714285714
"47","42091205906",134,88,88,93,98,103,108,101.714285714286
"48","42091203801",120,125,130,135,140,143,93,126.571428571429
"49","42091204300",60,61,61,52,56,59,61,58.5714285714286
"50","42091205502",122,111,72,75,80,85,90,90.7142857142857
"51","42091205501",64,65,70,75,80,85,90,75.5714285714286
"52","42091201704",147,152,157,162,167,172,119,153.714285714286
"53","42091206104",148,153,158,163,168,172,154,159.428571428571
"54","42091203901",96,101,93,93,97,89,90,94.1428571428571
"55","42091203804",120,125,130,135,140,145,150,135
"56","42045400302",66,68,68,67,67,65,65,66.5714285714286
"57","42045403800",113,118,123,128,129,104,108,117.571428571429
"58","42045400301",54,58,44,45,49,51,50,50.1428571428571
"59","42045409000",92,90,94,74,74,79,84,83.8571428571429
"60","42045403200",90,82,82,87,92,84,84,85.8571428571429
"61","42045409200",93,95,100,105,107,81,84,95
"62","42045408900",60,65,63,63,68,60,60,62.7142857142857
"63","42045400801",75,77,75,74,77,78,76,76
"64","42045401700",60,62,64,68,55,55,60,60.5714285714286
"65","42045404900",101,101,104,104,101,102,104,102.428571428571
"66","42101030900",60,63,62,64,68,70,61,64
"67","42101031502",76,73,74,77,76,76,79,75.8571428571429
"68","42101032000",68,69,71,70,67,69,69,69
"69","42101032900",77,79,80,83,75,75,80,78.4285714285714
"70","42101033702",83,88,93,95,72,75,80,83.7142857142857
"71","42101036501",105,91,93,91,91,93,91,93.5714285714286
"72","42101001201",37,38,35,34,36,37,36,36.1428571428571
"73","42101002100",31,31,30,30,30,29,27,29.7142857142857
"74","42101002801",30,32,28,29,30,26,28,29
"75","42101003701",39,36,37,38,38,37,38,37.5714285714286
"76","42101035301",97,97,95,98,103,105,97,98.8571428571429
"77","42101006400",62,62,62,62,62,62,62,62
"78","42101006700",42,42,42,42,42,42,42,42
"79","42101007300",49,49,50,49,49,49,49,49.1428571428571
"80","42101008200",48,49,48,51,43,43,46,46.8571428571429
"81","42101008602",39,40,40,41,41,40,40,40.1428571428571
"82","42101009600",48,46,46,50,49,46,45,47.1428571428571
"83","42101013500",36,38,39,37,37,36,35,36.8571428571429
"84","42101014700",28,29,25,27,30,31,28,28.2857142857143
"85","42101037700",40,43,43,42,44,44,44,42.8571428571429
"86","42101016901",49,52,54,56,52,53,56,53.1428571428571
"87","42101019501",46,45,43,45,46,42,42,44.1428571428571
"88","42101020400",41,41,43,44,43,42,42,42.2857142857143
"89","42101021300",52,54,55,52,55,56,56,54.2857142857143
"90","42101038700",87,89,94,97,83,85,90,89.2857142857143
"91","42101023900",66,68,70,70,66,67,70,68.1428571428571
"92","42101024800",43,44,42,43,47,38,39,42.2857142857143
"93","42101025700",85,70,70,75,80,81,81,77.4285714285714
"94","42101026302",52,55,57,58,61,57,58,56.8571428571429
"95","42101026700",50,51,52,54,50,53,44,50.5714285714286
"96","42101027600",41,38,39,43,38,37,37,39
"97","42101028100",48,50,49,48,49,49,48,48.7142857142857
"98","42101029800",67,67,62,65,66,63,65,65
"99","42091203204",120,125,130,134,120,121,126,125.142857142857
"100","42091202401",88,89,94,95,91,92,82,90.1428571428571
"101","42101000803",20,20,21,22,22,21,19,20.7142857142857
"102","42101980800",76,68,70,73,71,73,75,72.2857142857143
"103","42101010600",38,37,37,38,38,36,35,37
"104","42101014500",34,30,30,29,28,30,26,29.5714285714286
"105","42101028500",49,53,49,48,51,51,45,49.4285714285714
"106","42101013601",36,38,40,34,35,37,37,36.7142857142857
"107","42045400900",69,67,68,70,70,68,68,68.5714285714286
"108","42101016002",44,46,51,53,51,43,47,47.8571428571429
"109","42101036901",32,32,32,34,32,31,32,32.1428571428571
"110","42101013702",38,39,38,34,34,35,36,36.2857142857143
"111","42101000101",22,22,23,23,22,22,22,22.2857142857143
"112","42101000404",15,15,14,14,14,14,14,14.2857142857143
"113","42101000805",19,19,24,28,28,25,18,23
"114","42091201706",89,89,94,97,79,81,86,87.8571428571429
"115","42091206202",174,179,NA,NA,NA,178,NA,NA
"116","42017100803",147,148,153,158,163,168,173,158.571428571429
"117","42017101605",130,131,136,141,146,151,156,141.571428571429
"118","42029300303",129,128,130,135,140,145,150,136.714285714286
"119","42091205401",81,83,88,93,98,102,82,89.5714285714286
"120","42045401503",80,83,88,92,78,79,84,83.4285714285714
"121","42101014800",28,30,26,28,30,32,33,29.5714285714286
