"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"1","42017100206",122,136,139,157,156,151,146,143.857142857143
"2","42091205700",93,89,97,107,105,100,95,98
"3","42091203601",96,102,99,98,119,115,110,105.571428571429
"4","42091202602",120,115,110,105,100,97,141,112.571428571429
"5","42091201100",129,127,169,166,161,156,151,151.285714285714
"6","42091204101",109,104,100,119,118,113,108,110.142857142857
"7","42045402900",132,127,122,117,112,107,102,117
"8","42045403104",75,73,105,102,97,92,87,90.1428571428571
"9","42045400700",73,74,74,75,77,76,73,74.5714285714286
"10","42101001500",33,35,34,29,29,36,33,32.7142857142857
"11","42101001800",42,39,38,46,44,41,41,41.5714285714286
"12","42101002802",25,39,34,29,29,42,39,33.8571428571429
"13","42101004001",27,25,26,27,24,23,27,25.5714285714286
"14","42101006300",47,52,50,47,52,50,47,49.2857142857143
"15","42101007700",25,26,27,26,25,25,25,25.5714285714286
"16","42101008701",43,44,45,43,42,40,39,42.2857142857143
"17","42101011000",37,37,38,38,41,39,38,38.2857142857143
"18","42101011500",53,51,57,55,54,52,51,53.2857142857143
"19","42101014000",34,33,33,33,33,34,36,33.7142857142857
"20","42101016500",40,38,38,41,44,42,40,40.4285714285714
"21","42101017202",53,48,46,61,62,59,54,54.7142857142857
"22","42101019502",51,48,48,53,49,48,50,49.5714285714286
"23","42101021400",85,105,101,96,91,86,85,92.7142857142857
"24","42101024200",46,49,52,51,49,44,40,47.2857142857143
"25","42101025500",69,64,60,65,67,75,72,67.4285714285714
"26","42101027402",66,64,59,59,65,60,55,61.1428571428571
"27","42101028600",61,56,51,46,46,63,62,55
"28","42101030501",69,68,74,70,65,64,80,70
"29","42101033500",74,75,75,80,76,76,81,76.7142857142857
"30","42101034000",86,84,88,87,82,80,80,83.8571428571429
"31","42101034900",102,97,93,101,105,127,122,106.714285714286
"32","42101035900",112,107,106,112,108,107,114,109.428571428571
"33","42101012201",65,63,66,76,73,68,63,67.7142857142857
"34","42101000401",14,14,13,14,14,14,14,13.8571428571429
"35","42101016200",36,38,42,38,36,42,42,39.1428571428571
"36","42101012502",33,29,29,33,30,28,27,29.8571428571429
"37","42101013701",57,57,57,56,61,59,56,57.5714285714286
"38","42091203701",149,144,139,134,129,124,119,134
"39","42045980100",77,76,82,78,77,83,79,78.8571428571429
"40","42029980000",133,128,123,118,117,131,127,125.285714285714
"41","42029302806",101,101,123,118,113,108,104,109.714285714286
"42","42045406401",132,127,123,119,141,140,135,131
"43","42017100807",136,131,126,121,116,112,142,126.285714285714
"44","42029301100",141,172,174,NA,NA,NA,NA,NA
"45","42029300700",140,135,135,155,150,145,144,143.428571428571
"46","42091205906",109,104,99,94,89,89,140,103.428571428571
"47","42091203801",96,142,139,134,129,124,119,126.142857142857
"48","42091204300",71,70,65,61,76,75,70,69.7142857142857
"49","42091205501",95,93,92,106,105,100,95,98
"50","42091201704",125,169,164,159,154,149,144,152
"51","42091206104",170,165,160,155,150,145,140,155
"52","42091203901",93,89,95,94,91,112,110,97.7142857142857
"53","42091203804",149,144,139,134,129,124,119,134
"54","42045400302",68,68,70,69,68,69,68,68.5714285714286
"55","42045403800",106,125,123,118,113,108,108,114.428571428571
"56","42045400301",53,50,53,59,57,52,52,53.7142857142857
"57","42045403200",81,95,91,86,81,80,102,88
"58","42045408900",61,61,67,62,62,68,63,63.4285714285714
"59","42045400801",77,75,81,79,78,76,74,77.1428571428571
"60","42045401700",67,69,67,63,62,62,60,64.2857142857143
"61","42045404900",103,111,112,110,105,100,97,105.428571428571
"62","42101030900",68,66,69,70,70,79,77,71.2857142857143
"63","42101031502",82,80,78,78,84,79,75,79.4285714285714
"64","42101032000",69,71,70,77,76,74,72,72.7142857142857
"65","42101032900",93,91,86,84,81,79,87,85.8571428571429
"66","42101036501",93,107,102,97,92,88,94,96.1428571428571
"67","42101001201",40,40,43,42,40,42,39,40.8571428571429
"68","42101002100",35,34,34,39,37,32,30,34.4285714285714
"69","42101002801",25,39,34,29,29,39,38,33.2857142857143
"70","42101003701",37,43,42,40,39,44,47,41.7142857142857
"71","42101035301",98,112,110,105,102,108,106,105.857142857143
"72","42101006400",62,67,65,62,67,65,62,64.2857142857143
"73","42101006700",44,42,43,44,42,44,44,43.2857142857143
"74","42101007300",51,51,51,52,51,54,53,51.8571428571429
"75","42101008200",49,48,43,43,47,44,43,45.2857142857143
"76","42101008602",41,42,41,40,40,41,40,40.7142857142857
"77","42101009600",48,51,51,47,49,51,47,49.1428571428571
"78","42101013500",37,35,35,33,32,38,36,35.1428571428571
"79","42101014700",25,31,30,28,32,31,31,29.7142857142857
"80","42101037700",42,43,41,41,47,45,45,43.4285714285714
"81","42101016901",53,49,48,62,64,59,54,55.5714285714286
"82","42101019501",48,46,44,44,48,46,47,46.1428571428571
"83","42101020400",41,42,40,42,41,42,45,41.8571428571429
"84","42101021300",62,75,71,66,61,56,52,63.2857142857143
"85","42101038700",120,115,110,105,100,95,93,105.428571428571
"86","42101023900",69,64,61,72,76,74,72,69.7142857142857
"87","42101024800",45,43,49,46,41,39,52,45
"88","42101025700",102,97,92,87,82,82,88,90
"89","42101026302",67,64,59,57,62,59,55,60.4285714285714
"90","42101026700",51,49,55,54,50,55,54,52.5714285714286
"91","42101027600",40,39,40,41,39,39,37,39.2857142857143
"92","42101028100",47,45,47,48,48,48,48,47.2857142857143
"93","42101029800",65,71,67,62,58,71,71,66.4285714285714
"94","42091203204",129,125,135,134,133,155,151,137.428571428571
"95","42091202401",84,83,100,96,91,91,91,90.8571428571429
"96","42017100407",176,176,NA,NA,NA,NA,NA,NA
"97","42101000803",25,25,31,26,26,32,27,27.4285714285714
"98","42101980800",74,72,70,76,73,71,77,73.2857142857143
"99","42101010600",39,44,40,38,42,40,38,40.1428571428571
"100","42101014500",32,30,28,26,32,31,29,29.7142857142857
"101","42101028500",49,55,51,46,45,51,49,49.4285714285714
"102","42101013601",37,41,38,37,36,36,37,37.4285714285714
"103","42045400900",71,69,67,67,73,71,69,69.5714285714286
"104","42101016002",48,53,51,46,44,65,66,53.2857142857143
"105","42101036901",37,38,36,34,34,40,39,36.8571428571429
"106","42101013702",37,39,38,37,38,37,37,37.5714285714286
"107","42101000101",26,24,24,24,25,23,22,24
"108","42101000404",15,15,14,15,15,15,15,14.8571428571429
"109","42101000805",29,28,29,29,28,28,28,28.4285714285714
"110","42091201706",84,79,79,96,91,86,86,85.8571428571429
"111","42017100803",176,171,166,161,156,151,150,161.571428571429
"112","42017101605",156,151,146,141,136,131,131,141.714285714286
"113","42029300303",140,135,130,125,120,119,150,131.285714285714
"114","42091205401",101,96,91,86,86,100,95,93.5714285714286
"115","42045401503",85,80,79,93,89,84,81,84.4285714285714
"116","42101014800",26,32,30,29,35,32,31,30.7142857142857
"117","42101011300",41,47,43,43,49,44,44,44.4285714285714
